    -0.563      -0.7922      -0.1176   
   -0.6609      -0.8627      -0.2491   
   -0.3803       0.7321      -0.4329   
    0.0949      -0.6354       0.1218   
    0.6348      -0.9359        0.238   
    0.6892       0.5308      -0.5753   
   -0.6232       0.3745       -0.193   
   -0.5528      -0.3277       0.1689   
   -0.1285       0.8023      -0.4946   
   -0.5358      -0.5875      -0.3317   
   -0.4453       0.2216       0.2482   
    0.8092       0.5607       0.3856   
   -0.0678      -0.8197       0.1176   
    0.8714       0.6473       0.4823   
    0.3652        0.282       0.9185   
   -0.3968       0.3432       0.4492   
