    0.4821       0.0889       0.8846   
    0.2243       0.2998      -0.9727   
   -0.5045       0.8249       0.6041   
   -0.0658      -0.1901      -0.1344   
   -0.1234      -0.2921      -0.8235   
   -0.6841      -0.6612      -0.7671   
   -0.4993      -0.4985      -0.5782   
    0.8373       0.3485       0.9268   
    0.7761      -0.2951      -0.2381   
     0.246      -0.6161      -0.1838   
    0.1646        0.866       0.9052   
    0.4212       0.4623        0.577   
    0.8207       0.9578       0.4018   
    0.7968       0.2641      -0.4163   
    0.0344      -0.4873       0.2917   
     0.211      -0.1714       0.6305   
     0.816       0.7014      -0.4959   
   -0.7623       0.9108       0.8526   
   -0.4635       0.6868      -0.4425   
    0.2984       0.3048       0.3135   
   -0.8854      -0.1586       0.5515   
   -0.6082      -0.7374       0.0138   
    0.9688      -0.9168       0.3436   
    0.7426       -0.748      -0.3924   
   -0.6738       0.2864       0.4924   
      0.99      -0.1306      -0.3069   
    0.9926      -0.3146      -0.6056   
   -0.5034      -0.0769      -0.6949   
   -0.6509       0.4597      -0.6361   
    0.2787       0.1301       0.6688   
   -0.4079       0.6168      -0.4899   
   -0.4843      -0.6194       0.1448   
    0.5295      -0.2786       0.6001   
    -0.127      -0.5361       0.8521   
    0.8528       0.1623       0.1385   
    0.3451       0.1522      -0.9922   
   -0.9619       0.1447       0.0653   
   -0.1953      -0.9867       0.9885   
    0.4819      -0.6375       0.8202   
    0.8459      -0.9868       0.3223   
    0.8867      -0.0225       0.3112   
   -0.2312       0.4932       0.6918   
   -0.7143       0.0226      -0.5868   
    0.8858      -0.7324       0.2492   
   -0.8901      -0.8797      -0.2165   
    0.6205       0.8376      -0.6922   
   -0.9997       0.8757       0.8246   
    0.0657       0.0524        0.838   
